"0","Silonn Ice Maker","109.99","4.4 out of 5 stars","true"
"1","Countertop Ice Maker","109.99","4.3 out of 5 stars","false"
"2","Nugget Countertop Ice","229.99","4.3 out of 5 stars","false"
"3","Silonn Ice Maker","109.99","4.4 out of 5 stars","false"
"4","GE Profile Opal","559.00","4.4 out of 5 stars","false"
"5","Frigidaire Countertop Ice","97.00","4.5 out of 5 stars","false"
"6","CELSIUS Assorted Flavors","19.32","4.7 out of 5 stars","true"
"7","Nespresso Capsules VertuoLine,","37.50","4.8 out of 5 stars","false"
"8","Premier Protein Shake","29.98","4.6 out of 5 stars","false"
"9","Sparkling ICE, Black","10.98","4.7 out of 5 stars","false"
"10","Nespresso Capsules VertuoLine,","37.50","4.8 out of 5 stars","true"
"11","Airheads Candy Bars,","9.84","4.8 out of 5 stars","false"
"12","Hackney Diamonds” (Standard","13.98","5.0 out of 5 stars","true"
"13","Hackney Diamonds” (Standard","29.49","5.0 out of 5 stars","true"
"14","","11.99","3.6 out of 5 stars","false"
"15","The Nightmare Before","29.97","4.7 out of 5 stars","true"
"16","Equal Strain On","14.98","Previous page","false"
"17","","35.98","3.6 out of 5 stars","false"
"18","The Woman in","0.00","Previous page","false"
"19","Worthy","5.95","4.1 out of 5 stars","false"
"20","Atomic Habits: An","5.95","4.8 out of 5 stars","false"
"21","Killers of the","5.95","4.4 out of 5 stars","true"
"22","The Exchange: After","5.95","4.1 out of 5 stars","true"
"23","Lessons in Chemistry:","5.95","4.6 out of 5 stars","true"
"24","Pampers Swaddlers Diapers","55.94","4.8 out of 5 stars","false"
"25","Huggies Natural Care","22.99","4.9 out of 5 stars","true"
"26","Amazon Baby Registry","35.00","3.7 out of 5 stars","false"
"27","Pampers Sensitive Water","34.97","4.8 out of 5 stars","true"
"28","Huggies Size 1","53.47","4.8 out of 5 stars","true"
"29","Amazon Brand -","32.81","4.3 out of 5 stars","true"
"30","Amazon Fire TV","39.99","4.7 out of 5 stars","true"
"31","Introducing Echo Pop","39.99","4.7 out of 5 stars","true"
"32","All-new Amazon Fire","59.99","4.7 out of 5 stars","false"
"33","Echo Dot (latest","49.99","4.7 out of 5 stars","false"
"34","Amazon Fire TV","29.99","4.7 out of 5 stars","false"
"35","Blink Video Doorbell","59.99","4.3 out of 5 stars","true"
